ts_utc,exchange,symbol,price,rsi,signal,timeframe
2025-09-30 14:46:41 UTC,kraken,DOGE/USD,0.2283853,41.2851,HOLD,5m
2025-09-30 14:46:43 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:46:45 UTC,kraken,AVAX/USD,29.2,46.5745,HOLD,5m
2025-09-30 14:46:48 UTC,kraken,ATOM/USD,4.0239,37.1864,HOLD,5m
2025-09-30 14:47:19 UTC,kraken,SOL/USD,207.31,51.2161,HOLD,5m
2025-09-30 14:47:21 UTC,kraken,DOGE/USD,0.2281606,40.4969,HOLD,5m
2025-09-30 14:47:23 UTC,kraken,SHIB/USD,1.167e-05,40.3417,HOLD,5m
2025-09-30 14:47:25 UTC,kraken,AVAX/USD,29.19,45.8426,HOLD,5m
2025-09-30 14:47:28 UTC,kraken,ATOM/USD,4.0213,35.7945,HOLD,5m
2025-09-30 14:47:59 UTC,kraken,SOL/USD,207.25,50.5778,HOLD,5m
2025-09-30 14:48:01 UTC,kraken,DOGE/USD,0.2281606,39.2717,HOLD,5m
2025-09-30 14:48:03 UTC,kraken,SHIB/USD,1.166e-05,38.4889,HOLD,5m
2025-09-30 14:48:05 UTC,kraken,AVAX/USD,29.19,45.8426,HOLD,5m
2025-09-30 14:48:08 UTC,kraken,ATOM/USD,4.0213,35.7945,HOLD,5m
2025-09-30 14:48:39 UTC,kraken,SOL/USD,207.96,57.1626,HOLD,5m
2025-09-30 14:48:41 UTC,kraken,DOGE/USD,0.2291176,49.6907,HOLD,5m
2025-09-30 14:48:43 UTC,kraken,SHIB/USD,1.169e-05,38.4889,HOLD,5m
2025-09-30 14:48:45 UTC,kraken,AVAX/USD,29.29,53.3810,HOLD,5m
2025-09-30 14:48:48 UTC,kraken,ATOM/USD,4.0277,40.5643,HOLD,5m
2025-09-30 14:49:19 UTC,kraken,SOL/USD,208.0,57.4815,HOLD,5m
2025-09-30 14:49:21 UTC,kraken,DOGE/USD,0.229233,50.8514,HOLD,5m
2025-09-30 14:49:23 UTC,kraken,SHIB/USD,1.169e-05,45.5809,HOLD,5m
2025-09-30 14:49:25 UTC,kraken,AVAX/USD,29.3,54.0410,HOLD,5m
2025-09-30 14:49:28 UTC,kraken,ATOM/USD,4.0305,42.8297,HOLD,5m
2025-09-30 14:49:59 UTC,kraken,SOL/USD,208.0,57.4022,HOLD,5m
2025-09-30 14:50:01 UTC,kraken,DOGE/USD,0.2291314,49.8260,HOLD,5m
2025-09-30 14:50:03 UTC,kraken,SHIB/USD,1.17e-05,47.8699,HOLD,5m
2025-09-30 14:50:05 UTC,kraken,AVAX/USD,29.35,57.0792,HOLD,5m
2025-09-30 14:50:08 UTC,kraken,ATOM/USD,4.0305,42.8297,HOLD,5m
2025-09-30 14:50:39 UTC,kraken,SOL/USD,208.08,58.1585,HOLD,5m
